year,age,male,female
1979,All,63372,29418
1979,5-14 years,389,246
1979,15-24 years,10435,4266
1979,25-34 years,12580,4569
1979,35-54 years,19769,8845
1979,55-74 years,14936,8334
1979,75+ years,5263,3158
1980,All,110886,42662
1980,5-14 years,679,320
1980,15-24 years,17044,6077
1980,25-34 years,23066,6292
1980,35-54 years,40220,13305
1980,55-74 years,22611,11955
1980,75+ years,7266,4713
1981,All,130484,47149
1981,5-14 years,805,381
1981,15-24 years,18670,6520
1981,25-34 years,27450,6919
1981,35-54 years,49143,14863
1981,55-74 years,26320,13682
1981,75+ years,8096,5165
1982,All,135212,47681
1982,5-14 years,815,346
1982,15-24 years,18867,6201
1982,25-34 years,28617,6919
1982,35-54 years,50282,14735
1982,55-74 years,27895,13967
1982,75+ years,8736,5513
1983,All,87607,34823
1983,5-14 years,641,352
1983,15-24 years,13133,5255
1983,25-34 years,17090,5364
1983,35-54 years,28490,9982
1983,55-74 years,20594,9681
1983,75+ years,7659,4189
1984,All,89616,34811
1984,5-14 years,643,349
1984,15-24 years,13196,5029
1984,25-34 years,17278,5219
1984,35-54 years,29408,10252
1984,55-74 years,21095,9717
1984,75+ years,7996,4245
1985,All,147116,50417
1985,5-14 years,988,454
1985,15-24 years,19497,6068
1985,25-34 years,30262,7091
1985,35-54 years,53134,15313
1985,55-74 years,32604,15039
1985,75+ years,10631,6452
1986,All,137708,51517
1986,5-14 years,1115,417
1986,15-24 years,18461,6148
1986,25-34 years,27543,7054
1986,35-54 years,47541,15199
1986,55-74 years,31781,15481
1986,75+ years,11267,7218
1987,All,136113,50251
1987,5-14 years,1087,372
1987,15-24 years,16796,5264
1987,25-34 years,27098,6669
1987,35-54 years,47321,14856
1987,55-74 years,32063,15694
1987,75+ years,11748,7396
1988,All,132898,48518
1988,5-14 years,1107,386
1988,15-24 years,16346,4785
1988,25-34 years,26831,6234
1988,35-54 years,46317,14360
1988,55-74 years,30497,15048
1988,75+ years,11800,7705
1989,All,138248,47795
1989,5-14 years,1086,393
1989,15-24 years,16774,4764
1989,25-34 years,27970,6274
1989,35-54 years,48832,14146
1989,55-74 years,31582,14631
1989,75+ years,12004,7587
1990,All,152119,53388
1990,5-14 years,1183,432
1990,15-24 years,18877,5747
1990,25-34 years,30192,7169
1990,35-54 years,53933,15551
1990,55-74 years,34245,15811
1990,75+ years,13689,8678
1991,All,153405,51351
1991,5-14 years,1201,402
1991,15-24 years,18838,5224
1991,25-34 years,30136,6701
1991,35-54 years,55428,15327
1991,55-74 years,34645,15452
1991,75+ years,13157,8245
1992,All,165634,53466
1992,5-14 years,1302,488
1992,15-24 years,20047,5681
1992,25-34 years,32019,7061
1992,35-54 years,61253,16345
1992,55-74 years,37799,15776
1992,75+ years,13214,8115
1993,All,176150,53093
1993,5-14 years,1374,503
1993,15-24 years,20804,5376
1993,25-34 years,33323,7043
1993,35-54 years,67000,16472
1993,55-74 years,40440,15876
1993,75+ years,13209,7823
1994,All,187103,53525
1994,5-14 years,1351,527
1994,15-24 years,22766,5701
1994,25-34 years,35254,7107
1994,35-54 years,71271,16778
1994,55-74 years,43086,15728
1994,75+ years,13375,7684
1995,All,190680,55235
1995,5-14 years,1396,555
1995,15-24 years,23702,6117
1995,25-34 years,35562,7228
1995,35-54 years,73032,17506
1995,55-74 years,43732,15983
1995,75+ years,13256,7846
1996,All,194839,55514
1996,5-14 years,1379,577
1996,15-24 years,24636,6484
1996,25-34 years,35708,7608
1996,35-54 years,74903,17551
1996,55-74 years,44981,15674
1996,75+ years,13232,7620
1997,All,189268,55054
1997,5-14 years,1344,617
1997,15-24 years,24322,6606
1997,25-34 years,34285,7628
1997,35-54 years,71669,17450
1997,55-74 years,44215,15111
1997,75+ years,13433,7642
1998,All,196670,56609
1998,5-14 years,1462,703
1998,15-24 years,24723,6934
1998,25-34 years,34852,7601
1998,35-54 years,75058,17694
1998,55-74 years,46661,15620
1998,75+ years,13914,8057
1999,All,202787,57197
1999,5-14 years,1491,629
1999,15-24 years,25607,6773
1999,25-34 years,35160,7610
1999,35-54 years,79065,18416
1999,55-74 years,47630,15732
1999,75+ years,13834,8037
2000,All,203662,56243
2000,5-14 years,1538,612
2000,15-24 years,25902,6689
2000,25-34 years,35030,7448
2000,35-54 years,80666,18484
2000,55-74 years,46470,15193
2000,75+ years,14056,7817
2001,All,200930,54141
2001,5-14 years,1497,694
2001,15-24 years,25356,6373
2001,25-34 years,34210,6957
2001,35-54 years,80315,18219
2001,55-74 years,45488,14286
2001,75+ years,14064,7612
2002,All,203814,56587
2002,5-14 years,1450,722
2002,15-24 years,25463,6485
2002,25-34 years,35003,7457
2002,35-54 years,81085,19078
2002,55-74 years,46172,14834
2002,75+ years,14641,8011
2003,All,203763,56666
2003,5-14 years,1332,636
2003,15-24 years,24625,6795
2003,25-34 years,34432,7446
2003,35-54 years,81257,18996
2003,55-74 years,46876,14791
2003,75+ years,15241,8002
2004,All,190902,54347
2004,5-14 years,1283,646
2004,15-24 years,23442,6107
2004,25-34 years,32049,7056
2004,35-54 years,75356,18654
2004,55-74 years,43774,14104
2004,75+ years,14998,7780
2005,All,185499,52521
2005,5-14 years,1253,602
2005,15-24 years,22322,6130
2005,25-34 years,31116,7120
2005,35-54 years,72266,17773
2005,55-74 years,43400,13907
2005,75+ years,15142,7591
2006,All,184184,53016
2006,5-14 years,1181,654
2006,15-24 years,22515,6132
2006,25-34 years,30947,6919
2006,35-54 years,70468,17945
2006,55-74 years,43525,13817
2006,75+ years,15548,7549
2007,All,182921,54290
2007,5-14 years,1147,623
2007,15-24 years,22285,6110
2007,25-34 years,31245,7413
2007,35-54 years,68751,18281
2007,55-74 years,43372,14161
2007,75+ years,16121,7702
2008,All,184371,54997
2008,5-14 years,1048,680
2008,15-24 years,22505,6420
2008,25-34 years,30957,7540
2008,35-54 years,69252,18703
2008,55-74 years,44373,14064
2008,75+ years,16236,7590
2009,All,191435,55889
2009,5-14 years,1149,769
2009,15-24 years,22615,6574
2009,25-34 years,32377,7756
2009,35-54 years,72651,19056
2009,55-74 years,46234,14374
2009,75+ years,16409,7360
2010,All,187114,55129
2010,5-14 years,1116,701
2010,15-24 years,21901,6334
2010,25-34 years,31469,7507
2010,35-54 years,69885,18765
2010,55-74 years,45981,14473
2010,75+ years,16762,7349
2011,All,184504,55468
2011,5-14 years,1181,786
2011,15-24 years,21929,6660
2011,25-34 years,31015,7572
2011,35-54 years,67875,18594
2011,55-74 years,45493,14378
2011,75+ years,17011,7478
2012,All,180051,54034
2012,5-14 years,1220,663
2012,15-24 years,20883,6152
2012,25-34 years,30118,7247
2012,35-54 years,65436,18282
2012,55-74 years,44939,14278
2012,75+ years,17455,7412
2013,All,176198,53223
2013,5-14 years,1156,799
2013,15-24 years,19512,6208
2013,25-34 years,29418,7076
2013,35-54 years,64108,17962
2013,55-74 years,44636,14050
2013,75+ years,17368,7128
2014,All,174763,53030
2014,5-14 years,1195,825
2014,15-24 years,19292,5869
2014,25-34 years,29272,7208
2014,35-54 years,62744,17789
2014,55-74 years,44346,14112
2014,75+ years,17914,7227
2015,All,159382,48526
2015,5-14 years,1030,741
2015,15-24 years,17432,5403
2015,25-34 years,26581,6533
2015,35-54 years,56383,16208
2015,55-74 years,41196,13054
2015,75+ years,16760,6587
2016,All,12775,3708
2016,5-14 years,54,42
2016,15-24 years,1030,276
2016,25-34 years,1796,407
2016,35-54 years,4810,1276
2016,55-74 years,3758,1155
2016,75+ years,1327,552
