country,population,suicide
Albania,2719684,1970
Anguilla,3966,2
Antigua and Barbuda,91889,11
Argentina,39699624,93862
Armenia,2795335,2422
Aruba,98712,120
Australia,22240785,80279
Austria,8219386,60179
Belarus,8910347,16447
Belgium,10624356,7613
Belize,319835,16992
Bermuda,4530,58
Brazil,191087085,74974
Chile,16565725,352
Colombia,44490427,93
Croatia,4001669,54
Cuba,10832068,3591
Cyprus,796037,250824
Czech Republic,9989325,8
Denmark,5383060,123
Dominica,856638,42868
Ecuador,14534024,42
Egypt,78885166,128382
Estonia,1243450,19
Finland,5181797,44126
Georgia,3458400,54136
Germany,78136683,7346
Greece,10331286,29400
Grenada,96892,41418
Guatemala,14258397,412
Hong Kong SAR,7009500,51664
Hungary,9389519,15297
Iceland,308554,54
Iran (Islamic Rep of),72460999,5312
Israel,7516180,22595
Italy,58117697,1206
Japan,120376310,13865
Kazakhstan,15646752,12671
Latvia,1875522,304
Lithuania,2753926,33677
Luxembourg,537748,395500
Malta,410637,264
Mauritius,1154848,4971
Mexico,114357884,291262
Montserrat,68982,14385
Netherlands,16057342,38
Nicaragua,5476483,583
Norway,4882909,8403
Panama,3583382,28
Peru,28152198,1072
Poland,36086575,29691
Puerto Rico,3469521,130018
Qatar,2354147,1230
Republic of Korea,48671752,7299
Rodrigues,38533,13960
Romania,18863927,12663
Russian Federation,137018943,157074
San Marino,31313,87
Serbia,6766406,123151
Seychelles,85949,53
Singapore,3719115,1013
Slovenia,1954632,16436
South Africa,49627460,24861
Spain,44186528,42166
Sweden,9114524,2367
Switzerland,7892502,27
Thailand,61261276,939
Turkey,71880464,20
Turkmenistan,4886514,587
Ukraine,40345446,538
United Kingdom,61082942,4062
United States of America,300078511,1201401
Uruguay,3190795,117479
Virgin Islands (USA),97951,17

