country,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years
Russian Federation,10333,178038,291410,598106,331261,91844
United States of America,10021,172221,219213,428186,263458,108302
Japan,2601,63731,115500,328595,305417,121770
France,1074,25153,52933,143516,106082,66742
Ukraine,2159,30580,56864,144282,102071,29214
Germany,832,17902,32947,97833,89191,52557
Republic of Korea,1428,24243,43167,96292,68574,28026
Brazil,3455,50951,58290,87237,41122,9769
Poland,1164,18989,28546,72657,42782,8424
United Kingdom,289,17491,30664,64085,39879,13906
Italy,502,10373,18926,46566,52779,27928
Hungary,373,6470,14548,50634,39677,18316
Thailand,1646,31629,32300,42481,18208,3635
Canada,1137,20385,24651,50458,25084,6667
Kazakhstan,2248,22090,28790,45606,20018,4399
Mexico,4117,35898,28774,31472,12975,4243
Spain,428,8572,14467,33110,33274,20246
Argentina,1581,19092,15099,25304,23629,9157
Sri Lanka,1415,25833,18293,21679,10497,3030
Australia,363,12892,17273,29428,15209,5114
Belgium,269,5451,10674,28489,21192,9873
Belarus ,417,6696,13138,31897,18646,4180
Romania,614,5981,9243,29720,21878,5357
Netherlands,235,4850,9505,23397,16279,5939
Austria,215,5594,7551,19703,17105,10011
Colombia,1894,18367,12704,13232,6340,1599
Czech Republic,224,4153,6558,19514,14402,6813
Chile,582,8694,9463,15461,7820,2106
Uzbekistan,1647,11670,10836,14008,4953,949
Bulgaria,367,3053,3967,11776,15094,8611
Lithuania,183,3917,6499,18154,10545,2868
Cuba,185,3522,5827,13570,11741,6573
Sweden,134,3395,4983,13485,10720,5083
Finland,96,3822,5634,13908,8093,2124
Hong Kong,166,2685,5278,9694,7707,4161
Venezuela,852,8179,6995,8083,4250,1145
Croatia,149,2119,3021,9110,10799,4202
Portugal,157,2049,3117,7792,9655,5643
Switzerland,70,2015,2867,8846,7707,4712
Latvia,128,1962,3807,10029,6663,2272
Serbia,41,1124,1963,6947,9230,4874
Ecuador,1121,8588,5326,4907,2112,541
Philippines,493,7107,5358,5716,2168,488
Norway,128,2416,2984,6052,4091,1321
Slovenia,71,1265,2034,6309,5342,1784
New Zealand,172,3851,3418,5213,2864,929
Kyrgyzstan ,545,3290,3702,5728,2587,584
Denmark,39,874,1604,5738,4683,2359
Uruguay,111,1907,2140,4231,4284,1974
Greece,68,1254,2202,4582,4264,2015
Ireland,95,2694,3070,4940,2764,397
El Salvador,333,5292,3486,3151,1273,330
Slovakia,62,1186,1834,6085,3363,907
Estonia,93,1168,1850,5020,3361,1179
Israel,99,2007,2155,3701,3046,1655
Singapore,97,1367,2135,3853,2677,1381
Puerto Rico,60,1193,1962,4065,2590,968
Turkey,290,2182,2080,3304,1713,562
