country,year,suicide_no
All,1979,92790
All,1980,153548
All,1981,178014
All,1982,182893
All,1983,122430
All,1984,124427
All,1985,197533
All,1986,189225
All,1987,186364
All,1988,181416
All,1989,186043
All,1990,205507
All,1991,204756
All,1992,219100
All,1993,229243
All,1994,240628
All,1995,245915
All,1996,250353
All,1997,244322
All,1998,253279
All,1999,259984
All,2000,259905
All,2001,255071
All,2002,260401
All,2003,260429
All,2004,245249
All,2005,238622
All,2006,237200
All,2007,237211
All,2008,239368
All,2009,247324
All,2010,242243
All,2011,239972
All,2012,234085
All,2013,229421
All,2014,227793
All,2015,207908
All,2016,16483
Albania,1985,0
Albania,1986,0
Albania,1987,73
Albania,1988,63
Albania,1989,68
Albania,1990,0
Albania,1991,0
Albania,1992,47
Albania,1993,73
Albania,1994,50
Albania,1995,88
Albania,1996,89
Albania,1997,170
Albania,1998,154
Albania,1999,139
Albania,2000,54
Albania,2001,119
Albania,2002,133
Albania,2003,124
Albania,2004,146
Albania,2005,0
Albania,2006,0
Albania,2007,124
Albania,2008,160
Albania,2009,0
Albania,2010,96
Albania,2011,0
Albania,2012,0
Albania,2013,0
Albania,2014,0
Albania,2015,0
Anguilla,1983,0
Anguilla,1984,0
Anguilla,1985,0
Anguilla,1986,0
Anguilla,1987,0
Anguilla,1988,0
Anguilla,1989,0
Anguilla,1990,0
Anguilla,1991,0
Anguilla,1992,0
Anguilla,1993,0
Anguilla,1994,0
Anguilla,1995,0
Anguilla,2000,0
Anguilla,2001,0
Anguilla,2002,1
Anguilla,2003,0
Anguilla,2004,0
Anguilla,2005,0
Anguilla,2006,0
Anguilla,2008,0
Anguilla,2009,0
Anguilla,2010,0
Anguilla,2011,1
Anguilla,2012,0
Anguilla,2013,0
Anguilla,2014,0
Anguilla,2015,0
Anguilla,2016,0
Antigua and Barbuda,1983,0
Antigua and Barbuda,1985,0
Antigua and Barbuda,1986,0
Antigua and Barbuda,1987,0
Antigua and Barbuda,1988,0
Antigua and Barbuda,1989,0
Antigua and Barbuda,1990,1
Antigua and Barbuda,1991,0
Antigua and Barbuda,1992,0
Antigua and Barbuda,1993,1
Antigua and Barbuda,1994,0
Antigua and Barbuda,1995,0
Antigua and Barbuda,1998,0
Antigua and Barbuda,1999,0
Antigua and Barbuda,2000,2
Antigua and Barbuda,2001,2
Antigua and Barbuda,2002,0
Antigua and Barbuda,2003,1
Antigua and Barbuda,2004,2
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,0
Antigua and Barbuda,2007,1
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2012,0
Antigua and Barbuda,2013,0
Antigua and Barbuda,2014,0
Antigua and Barbuda,2015,1
Argentina,1979,1802
Argentina,1980,1972
Argentina,1981,2197
Argentina,1982,1965
Argentina,1983,1834
Argentina,1984,1873
Argentina,1985,1988
Argentina,1986,2284
Argentina,1987,2286
Argentina,1988,2354
Argentina,1989,2247
Argentina,1990,2140
Argentina,1991,1951
Argentina,1992,2184
Argentina,1993,2230
Argentina,1994,2241
Argentina,1995,2204
Argentina,1996,2229
Argentina,1997,2184
Argentina,1998,2347
Argentina,1999,2423
Argentina,2000,2774
Argentina,2001,3132
Argentina,2002,3162
Argentina,2003,3289
Argentina,2004,3121
Argentina,2005,3058
Argentina,2006,3108
Argentina,2007,2946
Argentina,2008,3059
Argentina,2009,2884
Argentina,2010,2943
Argentina,2011,2912
Argentina,2012,3248
Argentina,2013,2987
Argentina,2014,3231
Argentina,2015,3073
Armenia,1981,92
Armenia,1982,70
Armenia,1983,0
Armenia,1985,74
Armenia,1986,61
Armenia,1987,81
Armenia,1988,61
Armenia,1989,78
Armenia,1990,93
Armenia,1991,80
Armenia,1992,83
Armenia,1993,106
Armenia,1994,112
Armenia,1995,130
Armenia,1996,87
Armenia,1997,77
Armenia,1998,66
Armenia,1999,67
Armenia,2000,61
Armenia,2001,60
Armenia,2002,74
Armenia,2003,59
Armenia,2004,0
Armenia,2005,0
Armenia,2006,78
Armenia,2007,71
Armenia,2008,63
Armenia,2009,53
Armenia,2010,73
Armenia,2011,67
Armenia,2012,79
Armenia,2013,67
Armenia,2014,58
Armenia,2015,74
Armenia,2016,67
Aruba,1987,0
Aruba,1990,0
Aruba,1995,8
Aruba,1999,9
Aruba,2000,10
Aruba,2001,4
Aruba,2002,9
Aruba,2003,2
Aruba,2004,8
Aruba,2005,10
Aruba,2006,9
Aruba,2007,8
Aruba,2008,4
Aruba,2009,4
Aruba,2010,7
Aruba,2011,9
Aruba,2012,3
Aruba,2013,2
Aruba,2014,5
Aruba,2015,9
Australia,1979,1675
Australia,1980,1606
Australia,1981,1671
Australia,1982,1766
Australia,1983,1697
Australia,1984,1753
Australia,1985,1861
Australia,1986,2044
Australia,1987,2164
Australia,1988,2172
Australia,1989,2066
Australia,1990,2202
Australia,1991,2288
Australia,1992,2251
Australia,1993,2038
Australia,1994,2283
Australia,1995,2170
Australia,1996,2426
Australia,1997,2646
Australia,1998,2632
Australia,1999,2488
Australia,2000,2391
Australia,2001,2458
Australia,2002,2319
Australia,2003,2156
Australia,2004,2114
Australia,2005,0
Australia,2006,2117
Australia,2007,2229
Australia,2008,2341
Australia,2009,2337
Australia,2010,2420
Australia,2011,2392
Australia,2012,2580
Australia,2013,2608
Australia,2014,2891
Australia,2015,3027
Austria,1979,0
Austria,1980,1932
Austria,1981,2032
Austria,1982,2070
Austria,1983,2041
Austria,1984,2028
Austria,1985,2091
Austria,1986,2139
Austria,1987,2069
Austria,1988,1851
Austria,1989,1898
Austria,1990,1825
Austria,1991,1769
Austria,1992,1759
Austria,1993,1704
Austria,1994,1776
Austria,1995,1788
Austria,1996,1779
Austria,1997,1592
Austria,1998,1559
Austria,1999,1555
Austria,2000,1588
Austria,2001,1489
Austria,2002,1553
Austria,2003,1456
Austria,2004,1422
Austria,2005,1399
Austria,2006,1297
Austria,2007,1285
Austria,2008,1267
Austria,2009,1278
Austria,2010,1264
Austria,2011,1288
Austria,2012,1276
